Customer_Id,Customer_Name,Gender,Age,Email,Phone Number,City,State,Registration_Date,Membership,Preferred_Category
C001,Neha Mishra,Female,44,neha.mishra1@email.com,9876557559,Vijayawada,Andhra Pradesh,2023-03-16,Free,Technology
C002,Venkat Rao,Male,31,venkat.rao2@email.com,9876553702,Vijayawada,Andhra Pradesh,2023-03-30,Free,Self-Help
C003,Arun Agarwal,Male,25,arun.agarwal3@email.com,9876559103,Vijayawada,Andhra Pradesh,2023-05-07,Free,Education
C004,Sneha Nair,Female,27,sneha.nair4@email.com,9876553734,Vijayawada,Andhra Pradesh,2023-05-17,Silver,Education
C005,Sachin Joshi,Male,21,sachin.joshi5@email.com,9876559057,Indore,Madhya Pradesh,2023-07-05,Silver,Technology
C006,Arun Kumar,Male,37,arun.kumar6@email.com,9876546748,Coimbatore,Tamil Nadu,2023-03-03,Platinum,History
C007,Ananya Mehta,Female,29,ananya.mehta7@email.com,9876549822,Coimbatore,Tamil Nadu,2024-04-09,Silver,Biography
C008,Ravi Kumar,Male,34,ravi.kumar8@email.com,9876556223,Coimbatore,Tamil Nadu,2023-11-04,Gold,History
C009,Lakshmi Tiwari,Female,34,lakshmi.tiwari9@email.com,9876553701,Chennai,Tamil Nadu,2023-05-01,Silver,Biography
C010,Neha Chauhan,Female,39,neha.chauhan10@email.com,9876542543,Chandigarh,Punjab,2023-02-10,Gold,Technology
C011,Riya Chauhan,Female,20,riya.chauhan11@email.com,9876543066,Coimbatore,Tamil Nadu,2024-04-12,Gold,Business
C012,Arjun Joshi,Male,27,arjun.joshi12@email.com,9876552641,Coimbatore,Tamil Nadu,2024-04-01,Gold,Fiction
C013,Rekha Gupta,Female,33,rekha.gupta13@email.com,9876541931,Visakhapatnam,Andhra Pradesh,2023-04-30,Silver,Biography
C014,Neha Nair,Female,45,neha.nair14@email.com,9876556269,Bhopal,Madhya Pradesh,2024-02-05,Free,Self-Help
C015,Sunita Das,Female,44,sunita.das15@email.com,9876554107,Jaipur,Rajasthan,2023-05-21,Gold,History
C016,Rekha Mishra,Female,20,rekha.mishra16@email.com,9876545774,Kochi,Kerala,2023-06-04,Silver,Self-Help
